1	1.11064	1.21839	1.32019	1.41295	1.49367	1.55962	1.60851	1.63858	1.64872	
1.01015	1.13085	1.23858	1.34017	1.43248	1.51254	1.57772	1.62589	1.65544	1.66546	
1.02041	1.1443	1.25906	1.36039	1.45224	1.53166	1.59613	1.64365	1.67277	1.68237	
1.03077	1.161	1.27536	1.38088	1.47225	1.55105	1.61486	1.66179	1.69038	1.69945	
1.04123	1.17347	1.29508	1.3991	1.49253	1.57074	1.63393	1.68024	1.70826	1.7167	
1.0518	1.19012	1.30984	1.41981	1.51177	1.59073	1.65328	1.69899	1.72638	1.73413	
1.06248	1.20183	1.33	1.4368	1.53258	1.61036	1.67295	1.71801	1.74475	1.75173	
1.07327	1.21915	1.34361	1.45818	1.55119	1.63093	1.6926	1.73731	1.76334	1.76952	
1.08416	1.23015	1.36471	1.47423	1.57264	1.65044	1.71282	1.75673	1.78216	1.78748	
1.09517	1.24841	1.37738	1.49649	1.59078	1.67158	1.73264	1.77652	1.80114	1.80563	
1.10629	1.25883	1.39957	1.51189	1.61292	1.69102	1.75337	1.79625	1.82039	1.82396	
1.11752	1.27802	1.4116	1.535	1.63082	1.7127	1.77337	1.8165	1.83973	1.84248	
1.12886	1.28813	1.43472	1.55012	1.65356	1.7322	1.79455	1.83652	1.85939	1.86118	
1.14032	1.30803	1.44659	1.57386	1.6715	1.75434	1.81479	1.85719	1.87908	1.88008	
1.1519	1.31827	1.47026	1.58915	1.69466	1.77408	1.83637	1.87754	1.89913	1.89916	
1.1636	1.33849	1.48258	1.61318	1.71297	1.79656	1.85694	1.89858	1.91919	1.91845	
1.17541	1.34935	1.50629	1.62914	1.73634	1.81672	1.87886	1.9193	1.93963	1.93792	
1.18734	1.36948	1.51965	1.65312	1.75532	1.83944	1.89985	1.94071	1.96007	1.9576	
1.1994	1.38142	1.543	1.67015	1.77872	1.86018	1.92207	1.96184	1.98089	1.97747	
1.21157	1.40117	1.55782	1.69385	1.79857	1.88307	1.94355	1.98359	2.00176	1.99755	
1.22387	1.41446	1.58059	1.71219	1.82194	1.90448	1.96605	2.00518	2.02296	2.01783	
1.2363	1.43373	1.59708	1.73555	1.84276	1.92755	1.98807	2.02729	2.04425	2.03831	
1.24885	1.44846	1.61929	1.75525	1.86613	1.94965	2.01088	2.04934	2.06585	2.059	
1.26153	1.46733	1.63741	1.7784	1.88791	1.97295	2.03345	2.07182	2.08758	2.07991	
